Citizenship in Chicago Community Areas,,,,,,,,,,,,,,,,,
,1930,1940,1950,1960,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
1. Rogers Park,,,,,,,,,,,,,,,,,
Total,"  57,094 ","  60,565 ","  62,252 ","  56,888 ","  60,759 ","  55,525 ","  60,378 ","  63,484 ","  57,559 ","  57,165 ","  55,053 ","  54,402 ","  55,500 ","55,062","54,872","55,475","55,643"
U.S. citizen by birth,"  48,093 ","  51,146 ","  53,182 ","  46,837 ","  48,715 ","  39,461 ","  42,787 ","  42,011 ","  40,862 ","  40,413 ","  39,191 ","  38,544 ","  40,834 ","39,914","39,742","40,524","41,124"
Foreign born,"  9,001 ","  9,419 ","  9,070 ","  10,051 ","  12,044 ","  16,064 ","  17,591 ","  21,473 ","  16,697 ","  16,752 ","  15,862 ","  15,858 ","  14,666 ","15,148","15,130","14,951","14,519"
U.S. citizen by naturalization,,,,,,,"  5,428 ","  5,448 ","  5,318 ","  5,434 ","  5,636 ","  5,426 ","  5,213 ","5,482","5,424","5,582","5,574"
Not a U.S. citizen,,,,,,,"  12,163 ","  16,025 ","  11,379 ","  11,318 ","  10,226 ","  10,432 ","  9,453 ","9,666","9,706","9,369","8,945"
Percent foreign born,15.80%,15.60%,14.60%,17.7%,19.8%,28.9%,29.1%,33.8%,29.0%,29.3%,28.8%,29.0%,26.4%,27.5%,27.6%,27.0%,26.1%
,,,,,,,,,,,,,,,,,
2. West Ridge,,,,,,,,,,,,,,,,,
Total,"  39,759 ","  43,553 ","  47,930 ","  63,884 ","  65,477 ","  61,129 ","  65,374 ","  73,199 ","  73,705 ","  73,305 ","  73,019 ","  72,211 ","  73,723 ","76,215","77,212","78,466","78,763"
U.S. citizen by birth,"  32,806 ","  37,213 ","  41,356 ","  52,246 ","  50,830 ","  41,412 ","  39,969 ","  39,808 ","  40,418 ","  39,453 ","  40,541 ","  40,312 ","  42,210 ","43,364","44,493","44,258","46,591"
Foreign born,"  6,953 ","  6,340 ","  6,574 ","  11,638 ","  14,647 ","  19,717 ","  25,405 ","  33,391 ","  33,287 ","  33,852 ","  32,478 ","  31,899 ","  31,513 ","32,851","32,719","34,208","32,172"
U.S. citizen by naturalization,,,,,,,"  11,650 ","  14,604 ","  15,769 ","  16,092 ","  15,645 ","  15,599 ","  16,706 ","17,679","17,779","18,428","17,406"
Not a U.S. citizen,,,,,,,"  13,755 ","  18,787 ","  17,518 ","  17,760 ","  16,833 ","  16,300 ","  14,807 ","15,172","14,940","15,780","14,766"
Percent foreign born,17.50%,14.60%,13.70%,18.2%,22.4%,32.3%,38.9%,45.6%,45.2%,46.2%,44.5%,44.0%,42.7%,43.1%,42.4%,43.6%,40.8%
,,,,,,,,,,,,,,,,,
3. Uptown,,,,,,,,,,,,,,,,,
Total,"  67,699 ","  77,677 ","  84,462 ","  76,103 ","  74,838 ","  64,414 ","  63,839 ","  63,568 ","  54,995 ","  54,449 ","  54,062 ","  55,137 ","  56,296 ","57,973","58,424","58,979","59,453"
U.S. citizen by birth,"  54,294 ","  63,745 ","  71,747 ","  63,735 ","  60,031 ","  43,983 ","  43,030 ","  42,586 ","  41,235 ","  40,702 ","  41,355 ","  42,350 ","  41,941 ","42,965","43,516","44,214","45,193"
Foreign born,"  13,405 ","  13,932 ","  12,715 ","  12,368 ","  14,807 ","  20,431 ","  20,809 ","  20,982 ","  13,760 ","  13,747 ","  12,707 ","  12,787 ","  14,355 ","15,008","14,908","14,765","14,260"
U.S. citizen by naturalization,,,,,,,"  6,770 ","  7,110 ","  6,417 ","  6,454 ","  6,401 ","  6,924 ","  8,018 ","8,189","8,115","8,131","7,862"
Not a U.S. citizen,,,,,,,"  14,039 ","  13,872 ","  7,343 ","  7,293 ","  6,306 ","  5,863 ","  6,337 ","6,819","6,793","6,634","6,398"
Percent foreign born,19.80%,17.90%,15.10%,16.3%,19.8%,31.7%,32.6%,33.0%,25.0%,25.2%,23.5%,23.0%,25.5%,25.9%,25.5%,25.0%,24.0%
,,,,,,,,,,,,,,,,,
4. Lincoln Square,,,,,,,,,,,,,,,,,
Total,"  46,419 ","  47,179 ","  47,298 ","  49,850 ","  47,831 ","  43,954 ","  44,891 ","  44,557 ","  38,622 ","  38,667 ","  39,547 ","  40,761 ","  41,483 ","41,715","41,713","42,103","41,350"
U.S. citizen by birth,"  35,988 ","  38,409 ","  39,802 ","  40,195 ","  35,715 ","  28,379 ","  27,981 ","  27,351 ","  28,237 ","  28,636 ","  29,695 ","  30,181 ","  31,371 ","32,171","32,726","32,573","32,642"
Foreign born,"  10,431 ","  8,770 ","  7,496 ","  9,655 ","  12,116 ","  15,575 ","  16,910 ","  17,206 ","  10,385 ","  10,031 ","  9,852 ","  10,580 ","  10,112 ","9,544","8,987","9,530","8,708"
U.S. citizen by naturalization,,,,,,,"  6,849 ","  6,351 ","  5,154 ","  5,514 ","  5,574 ","  6,308 ","  5,752 ","5,459","4,924","4,923","4,496"
Not a U.S. citizen,,,,,,,"  10,061 ","  10,855 ","  5,231 ","  4,517 ","  4,278 ","  4,272 ","  4,360 ","4,085","4,063","4,607","4,212"
Percent foreign born,22.50%,18.60%,15.80%,19.4%,25.3%,35.4%,37.7%,38.6%,26.9%,25.9%,24.9%,26.0%,24.4%,22.9%,21.5%,22.6%,21.1%
,,,,,,,,,,,,,,,,,
5. North Center,,,,,,,,,,,,,,,,,
Total,"  47,651 ","  48,759 ","  47,787 ","  43,877 ","  39,378 ","  35,161 ","  33,010 ","  31,895 ","  33,418 ","  34,534 ","  34,815 ","  34,623 ","  34,942 ","35,789","35,705","35,543","36,142"
U.S. citizen by birth,"  34,626 ","  37,704 ","  39,366 ","  35,946 ","  32,568 ","  28,560 ","  26,511 ","  27,282 ","  29,603 ","  30,739 ","  30,978 ","  30,545 ","  31,266 ","31,874","31,983","31,799","32,941"
Foreign born,"  13,025 ","  11,055 ","  8,421 ","  7,931 ","  6,810 ","  6,601 ","  6,499 ","  4,613 ","  3,815 ","  3,795 ","  3,837 ","  4,078 ","  3,676 ","3,915","3,722","3,744","3,201"
U.S. citizen by naturalization,,,,,,,"  2,854 ","  2,217 ","  2,520 ","  2,314 ","  2,296 ","  2,558 ","  2,448 ","2,472","2,609","2,542","2,176"
Not a U.S. citizen,,,,,,,"  3,645 ","  2,396 ","  1,295 ","  1,481 ","  1,541 ","  1,520 ","  1,228 ","1,443","1,113","1,202","1,025"
Percent foreign born,27.30%,22.70%,17.60%,18.1%,17.3%,18.8%,19.7%,14.5%,11.4%,11.0%,11.0%,12.0%,10.5%,10.9%,10.4%,10.5%,8.9%
,,,,,,,,,,,,,,,,,
6. Lake View,,,,,,,,,,,,,,,,,
Total,"  114,872 ","  121,455 ","  124,824 ","  118,764 ","  114,889 ","  97,519 ","  91,031 ","  94,817 ","  96,539 ","  96,541 ","  97,968 ","  98,212 ","  99,876 ","100,470","100,547","101,365","101,428"
U.S. citizen,"  81,749 ","  92,761 ","  102,110 ","  94,881 ","  94,766 ","  77,733 ","  77,355 ","  81,700 ","  84,969 ","  85,359 ","  86,077 ","  86,030 ","  87,330 ","87,791","87,670","88,494","89,194"
Foreign born,"  33,123 ","  28,694 ","  22,714 ","  23,883 ","  20,123 ","  19,786 ","  13,676 ","  13,117 ","  11,570 ","  11,182 ","  11,891 ","  12,182 ","  12,546 ","12,679","12,877","12,871","12,234"
U.S. citizen by naturalization,,,,,,,"  6,256 ","  5,974 ","  6,013 ","  5,584 ","  5,788 ","  6,149 ","  6,281 ","6,208","6,387","6,509","6,537"
Not a U.S. citizen,,,,,,,"  7,420 ","  7,143 ","  5,557 ","  5,598 ","  6,103 ","  6,033 ","  6,265 ","6,471","6,490","6,362","5,697"
Percent foreign born,28.80%,23.60%,18.20%,20.1%,17.5%,20.3%,15.0%,13.8%,12.0%,11.6%,12.1%,12.0%,12.6%,12.6%,12.8%,12.7%,12.1%
,,,,,,,,,,,,,,,,,
7. Lincoln Park,,,,,,,,,,,,,,,,,
Total,"  97,873 ","  100,826 ","  102,396 ","  88,836 ","  67,718 ","  57,146 ","  61,092 ","  64,323 ","  64,631 ","  65,889 ","  65,951 ","  66,959 ","  67,260 ","67,710","68,697","69,465","69,568"
U.S. citizen by birth,"  64,803 ","  75,785 ","  84,475 ","  73,459 ","  58,257 ","  50,097 ","  56,459 ","  59,088 ","  58,029 ","  59,291 ","  59,424 ","  60,442 ","  59,924 ","60,269","60,508","61,153","60,432"
Foreign born,"  33,070 ","  25,041 ","  17,921 ","  15,377 ","  9,461 ","  7,049 ","  4,633 ","  5,235 ","  6,602 ","  6,598 ","  6,527 ","  6,517 ","  7,336 ","7,441","8,189","8,312","9,136"
U.S. citizen by naturalization,,,,,,,"  2,182 ","  2,695 ","  3,324 ","  3,141 ","  3,187 ","  3,424 ","  3,613 ","3,822","4,308","4,481","4,287"
Not a U.S. citizen,,,,,,,"  2,451 ","  2,540 ","  3,278 ","  3,457 ","  3,340 ","  3,093 ","  3,723 ","3,619","3,881","3,831","4,849"
Percent foreign born,33.80%,24.80%,17.50%,17.3%,14.0%,12.3%,7.6%,8.1%,10.2%,10.0%,9.9%,10.0%,10.9%,11.0%,11.9%,12.0%,13.1%
,,,,,,,,,,,,,,,,,
8. Near North Side,,,,,,,,,,,,,,,,,
Total,"  79,554 ","  76,954 ","  89,196 ","  75,509 ","  70,329 ","  67,157 ","  62,842 ","  72,903 ","  80,516 ","  83,215 ","  84,305 ","  85,711 ","  86,343 ","88,893","89,995","93,318","98,528"
U.S. citizen,"  58,578 ","  61,526 ","  78,898 ","  69,659 ","  65,819 ","  61,657 ","  57,278 ","  63,171 ","  66,360 ","  69,497 ","  70,569 ","  71,404 ","  71,961 ","74,535","75,235","77,585","81,855"
Foreign born,"  20,976 ","  15,428 ","  10,298 ","  5,850 ","  4,510 ","  5,500 ","  5,564 ","  9,732 ","  14,156 ","  13,718 ","  13,736 ","  14,307 ","  14,382 ","14,358","14,760","15,733","16,673"
U.S. citizen by naturalization,,,,,,,"  3,110 ","  4,177 ","  6,974 ","  6,621 ","  6,530 ","  6,532 ","  6,567 ","6,716","7,128","7,485","8,179"
Not a U.S. citizen,,,,,,,"  2,454 ","  5,555 ","  7,182 ","  7,097 ","  7,206 ","  7,775 ","  7,815 ","7,642","7,632","8,248","8,494"
Percent foreign born,26.40%,20.00%,11.50%,7.7%,6.4%,8.2%,8.9%,13.3%,17.6%,16.5%,16.3%,17.0%,16.7%,16.2%,16.4%,16.9%,16.9%
,,,,,,,,,,,,,,,,,
9. Edison Park,,,,,,,,,,,,,,,,,
Total,"  5,370 ","  5,999 ","  7,843 ","  12,568 ","  13,076 ","  12,457 ","  11,426 ","  11,178 ","  11,135 ","  10,884 ","  10,993 ","  11,356 ","  11,150 ","11,753","11,724","11,264","11,002"
U.S. citizen by birth,"  4,713 ","  5,445 ","  7,176 ","  11,560 ","  12,148 ","  11,118 ","  10,369 ","  9,889 ","  9,685 ","  9,350 ","  9,420 ","  9,900 ","  9,867 ","10,608","10,694","10,189","10,009"
Foreign born,  657 ,  554 ,  667 ,"  1,008 ",  928 ,"  1,339 ","  1,057 ","  1,289 ","  1,450 ","  1,534 ","  1,573 ","  1,456 ","  1,283 ","1,145","1,030","1,075",993
U.S. citizen by naturalization,,,,,,,  761 ,  945 ,"  1,170 ","  1,162 ","  1,207 ","  1,018 ",  874 ,849,819,872,703
Not a U.S. citizen,,,,,,,  296 ,  344 ,  280 ,  372 ,  366 ,  438 ,  409 ,296,211,203,290
Percent foreign born,12.20%,9.20%,8.50%,8.0%,7.1%,10.7%,9.3%,11.5%,13.0%,14.1%,14.3%,13.0%,11.5%,9.7%,8.8%,9.5%,9.0%
,,,,,,,,,,,,,,,,,
10. Norwood Park,,,,,,,,,,,,,,,,,
Total,"  14,408 ","  16,466 ","  26,798 ","  40,953 ","  41,995 ","  40,586 ","  37,530 ","  37,619 ","  37,429 ","  36,988 ","  36,486 ","  36,083 ","  36,002 ","36,936","37,170","37,924","38,088"
U.S. citizen by birth,"  11,809 ","  14,054 ","  23,764 ","  36,768 ","  37,816 ","  35,364 ","  31,308 ","  30,574 ","  29,119 ","  29,382 ","  29,649 ","  29,041 ","  28,617 ","29,568","30,765","30,635","31,656"
Foreign born,"  2,599 ","  2,412 ","  3,034 ","  4,185 ","  4,179 ","  5,222 ","  6,222 ","  7,045 ","  8,310 ","  7,606 ","  6,837 ","  7,042 ","  7,385 ","7,368","6,405","7,289","6,432"
U.S. citizen by naturalization,,,,,,,"  4,015 ","  4,430 ","  5,664 ","  5,360 ","  4,905 ","  5,239 ","  5,390 ","5,399","4,690","5,177","4,473"
Not a U.S. citizen,,,,,,,"  2,207 ","  2,615 ","  2,646 ","  2,246 ","  1,932 ","  1,803 ","  1,995 ","1,969","1,715","2,112","1,959"
Percent foreign born,18.00%,14.60%,11.30%,10.2%,10.0%,12.9%,16.6%,18.7%,22.2%,20.6%,18.7%,20.0%,20.5%,19.9%,17.2%,19.2%,16.9%
,,,,,,,,,,,,,,,,,
11. Jefferson Park,,,,,,,,,,,,,,,,,
Total,"  20,532 ","  21,537 ","  23,556 ","  27,494 ","  27,553 ","  24,583 ","  23,649 ","  25,859 ","  26,771 ","  27,212 ","  26,975 ","  27,264 ","  26,755 ","26,808","27,989","27,503","27,194"
U.S. citizen by birth,"  15,735 ","  17,614 ","  20,167 ","  23,838 ","  24,138 ","  20,832 ","  19,657 ","  18,776 ","  19,146 ","  19,598 ","  19,894 ","  19,565 ","  19,000 ","19,295","20,039","19,808","20,151"
Foreign born,"  4,797 ","  3,923 ","  3,389 ","  3,656 ","  3,415 ","  3,751 ","  3,992 ","  7,083 ","  7,625 ","  7,614 ","  7,081 ","  7,699 ","  7,755 ","7,513","7,950","7,695","7,043"
U.S. citizen by naturalization,,,,,,,"  2,392 ","  3,511 ","  4,196 ","  4,495 ","  4,626 ","  5,028 ","  4,999 ","4,851","5,272","5,100","4,575"
Not a U.S. citizen,,,,,,,"  1,600 ","  3,572 ","  3,429 ","  3,119 ","  2,455 ","  2,671 ","  2,756 ","2,662","2,678","2,595","2,468"
Percent foreign born,23.40%,18.20%,14.40%,13.3%,12.4%,15.3%,16.9%,27.4%,28.5%,28.0%,26.3%,28.0%,29.0%,28.0%,28.4%,28.0%,25.9%
,,,,,,,,,,,,,,,,,
12. Forest Glen,,,,,,,,,,,,,,,,,
Total,"  4,065 ","  6,630 ","  12,189 ","  19,228 ","  20,531 ","  18,991 ","  17,655 ","  18,165 ","  18,542 ","  18,710 ","  18,478 ","  18,437 ","  18,631 ","18,997","19,092","19,384","19,928"
U.S. citizen by birth,"  3,149 ","  5,686 ","  10,854 ","  17,144 ","  18,302 ","  16,066 ","  15,052 ","  14,571 ","  15,153 ","  15,238 ","  14,803 ","  14,820 ","  15,405 ","15,399","15,283","15,861","16,209"
Foreign born,  916 ,  944 ,"  1,335 ","  2,084 ","  2,229 ","  2,925 ","  2,603 ","  3,594 ","  3,389 ","  3,472 ","  3,675 ","  3,617 ","  3,226 ","3,598","3,809","3,523","3,719"
U.S. citizen by naturalization,,,,,,,"  1,869 ","  2,636 ","  2,800 ","  2,763 ","  2,800 ","  2,643 ","  2,471 ","2,841","2,969","2,929","3,052"
Not a U.S. citizen,,,,,,,  734 ,  958 ,  589 ,  709 ,  875 ,  974 ,  755 ,757,840,594,667
Percent foreign born,22.50%,14.20%,11.00%,10.8%,10.9%,15.4%,14.7%,19.8%,18.3%,18.6%,20.0%,20.0%,17.3%,18.9%,20.0%,18.2%,18.7%
,,,,,,,,,,,,,,,,,
13. North Park,,,,,,,,,,,,,,,,,
Total,"  11,052 ","  12,271 ","  15,291 ","  17,866 ","  16,851 ","  15,273 ","  16,236 ","  18,519 ","  18,739 ","  19,218 ","  18,058 ","  18,442 ","  18,743 ","18,842","18,451","18,914","18,806"
U.S. citizen by birth,"  8,044 ","  9,390 ","  12,391 ","  13,881 ","  12,976 ","  10,644 ","  10,753 ","  11,405 ","  11,467 ","  11,983 ","  11,469 ","  11,493 ","  11,170 ","11,330","11,076","11,393","11,382"
Foreign born,"  3,008 ","  2,881 ","  2,900 ","  3,985 ","  3,875 ","  4,629 ","  5,483 ","  7,114 ","  7,272 ","  7,235 ","  6,589 ","  6,949 ","  7,573 ","7,512","7,375","7,521","7,424"
U.S. citizen by naturalization,,,,,,,"  3,545 ","  4,225 ","  4,532 ","  4,861 ","  4,216 ","  4,531 ","  4,967 ","4,979","4,622","4,881","4,981"
Not a U.S. citizen,,,,,,,"  1,938 ","  2,889 ","  2,740 ","  2,374 ","  2,373 ","  2,418 ","  2,606 ","2,533","2,753","2,640","2,443"
Percent foreign born,27.20%,23.50%,19.00%,22.3%,23.0%,30.3%,33.8%,38.4%,38.8%,37.6%,36.5%,38.0%,40.4%,39.9%,40.0%,39.8%,39.5%
,,,,,,,,,,,,,,,,,
14. Albany Park,,,,,,,,,,,,,,,,,
Total,"  55,577 ","  56,692 ","  52,995 ","  49,450 ","  47,092 ","  46,075 ","  49,501 ","  57,655 ","  53,897 ","  54,018 ","  52,930 ","  52,079 ","  51,575 ","51,992","50,343","49,806","49,280"
U.S. citizen by birth,"  37,683 ","  39,812 ","  39,281 ","  35,970 ","  36,631 ","  29,358 ","  26,418 ","  27,545 ","  29,049 ","  29,427 ","  29,704 ","  28,729 ","  29,037 ","29,998","30,176","30,068","30,753"
Foreign born,"  17,894 ","  16,880 ","  13,714 ","  13,480 ","  10,461 ","  16,717 ","  23,083 ","  30,110 ","  24,848 ","  24,591 ","  23,226 ","  23,350 ","  22,538 ","21,994","20,167","19,738","18,527"
U.S. citizen by naturalization,,,,,,,"  8,087 ","  9,226 ","  8,918 ","  8,886 ","  8,596 ","  9,440 ","  8,991 ","9,075","8,680","8,845","7,420"
Not a U.S. citizen,,,,,,,"  14,996 ","  20,884 ","  15,930 ","  15,705 ","  14,630 ","  13,910 ","  13,547 ","12,919","11,487","10,893","11,107"
Percent foreign born,32.20%,29.80%,25.90%,27.3%,22.2%,36.3%,46.6%,52.2%,46.1%,45.5%,43.9%,45.0%,43.7%,42.3%,40.1%,39.6%,37.6%
,,,,,,,,,,,,,,,,,
15. Portage Park,,,,,,,,,,,,,,,,,
Total,"  64,203 ","  66,357 ","  64,736 ","  65,925 ","  63,626 ","  57,349 ","  56,513 ","  65,335 ","  63,619 ","  63,594 ","  64,427 ","  64,846 ","  64,523 ","64,313","64,961","64,605","63,919"
U.S. citizen by birth,"  48,982 ","  53,923 ","  54,631 ","  56,687 ","  54,396 ","  46,907 ","  43,464 ","  40,962 ","  43,122 ","  43,424 ","  43,819 ","  43,661 ","  43,611 ","43,859","44,195","43,774","43,086"
Foreign born,"  15,221 ","  12,434 ","  10,105 ","  9,238 ","  9,230 ","  10,442 ","  13,049 ","  24,373 ","  20,497 ","  20,170 ","  20,608 ","  21,185 ","  20,912 ","20,454","20,766","20,831","20,833"
U.S. citizen by naturalization,,,,,,,"  6,241 ","  9,474 ","  10,968 ","  10,753 ","  11,314 ","  11,531 ","  11,440 ","11,246","11,482","11,392","11,767"
Not a U.S. citizen,,,,,,,"  6,808 ","  14,899 ","  9,529 ","  9,417 ","  9,294 ","  9,654 ","  9,472 ","9,208","9,284","9,439","9,066"
Percent foreign born,23.70%,18.70%,15.60%,14.0%,14.5%,18.2%,23.1%,37.3%,32.2%,31.7%,32.0%,33.0%,32.4%,31.8%,32.0%,32.2%,32.6%
,,,,,,,,,,,,,,,,,
16. Irving Park,,,,,,,,,,,,,,,,,
Total,"  66,783 ","  66,553 ","  64,881 ","  58,298 ","  54,883 ","  49,489 ","  50,159 ","  58,643 ","  56,513 ","  56,841 ","  56,490 ","  56,520 ","  55,417 ","54,606","53,665","53,530","53,604"
U.S. citizen by birth,"  50,847 ","  54,116 ","  54,976 ","  49,717 ","  46,841 ","  39,909 ","  37,061 ","  37,668 ","  38,503 ","  38,934 ","  37,635 ","  37,735 ","  38,210 ","37,933","38,175","38,152","39,475"
Foreign born,"  15,936 ","  12,437 ","  9,905 ","  8,581 ","  8,042 ","  9,580 ","  13,098 ","  20,975 ","  18,010 ","  17,907 ","  18,855 ","  18,785 ","  17,207 ","16,673","15,490","15,378","14,129"
U.S. citizen by naturalization,,,,,,,"  4,823 ","  8,016 ","  7,485 ","  7,065 ","  7,551 ","  7,380 ","  7,125 ","7,442","6,978","7,238","7,221"
Not a U.S. citizen,,,,,,,"  8,275 ","  12,959 ","  10,525 ","  10,842 ","  11,304 ","  11,405 ","  10,082 ","9,231","8,512","8,140","6,908"
Percent foreign born,23.90%,18.70%,15.30%,14.7%,14.7%,19.4%,26.1%,35.8%,31.9%,31.5%,33.4%,33.0%,31.1%,30.5%,28.9%,28.7%,26.4%
,,,,,,,,,,,,,,,,,
17. Dunning,,,,,,,,,,,,,,,,,
Total,"  19,659 ","  23,328 ","  32,231 ","  41,626 ","  43,843 ","  37,860 ","  36,957 ","  42,164 ","  42,115 ","  42,405 ","  43,053 ","  43,025 ","  43,444 ","43,689","44,035","43,445","43,587"
U.S. citizen by birth,"  15,076 ","  18,843 ","  27,255 ","  35,610 ","  37,367 ","  31,293 ","  29,728 ","  27,624 ","  27,118 ","  27,601 ","  28,832 ","  29,208 ","  29,823 ","30,505","30,308","29,331","29,980"
Foreign born,"  4,583 ","  4,485 ","  4,976 ","  6,016 ","  6,476 ","  6,567 ","  7,229 ","  14,540 ","  14,997 ","  14,804 ","  14,221 ","  13,817 ","  13,621 ","13,184","13,727","14,114","13,607"
U.S. citizen by naturalization,,,,,,,"  4,619 ","  6,760 ","  8,394 ","  8,519 ","  8,079 ","  7,802 ","  7,770 ","7,401","8,057","8,333","8,093"
Not a U.S. citizen,,,,,,,"  2,610 ","  7,780 ","  6,603 ","  6,285 ","  6,142 ","  6,015 ","  5,851 ","5,783","5,670","5,781","5,514"
Percent foreign born,23.30%,19.20%,15.40%,14.5%,14.8%,17.3%,19.6%,34.5%,35.6%,34.9%,33.0%,32.0%,31.4%,30.2%,31.2%,32.5%,31.2%
,,,,,,,,,,,,,,,,,
18. Montclare,,,,,,,,,,,,,,,,,
Total,"  8,500 ","  9,693 ","  11,166 ","  11,802 ","  11,698 ","  10,793 ","  10,573 ","  12,646 ","  12,401 ","  12,283 ","  12,840 ","  12,973 ","  12,992 ","13,784","13,811","14,267","14,382"
U.S. citizen by birth,"  6,239 ","  7,645 ","  9,128 ","  9,582 ","  9,728 ","  8,377 ","  8,348 ","  8,395 ","  8,024 ","  7,686 ","  8,346 ","  8,818 ","  9,089 ","9,740","9,888","9,749","9,421"
Foreign born,"  2,261 ","  2,048 ","  2,038 ","  2,220 ","  1,970 ","  2,416 ","  2,225 ","  4,251 ","  4,377 ","  4,597 ","  4,494 ","  4,155 ","  3,903 ","4,044","3,923","4,518","4,961"
U.S. citizen by naturalization,,,,,,,"  1,224 ","  1,602 ","  1,938 ","  2,148 ","  2,010 ","  1,972 ","  2,025 ","2,057","1,911","2,137","2,230"
Not a U.S. citizen,,,,,,,"  1,001 ","  2,649 ","  2,439 ","  2,449 ","  2,484 ","  2,183 ","  1,878 ","1,987","2,012","2,381","2,731"
Percent foreign born,26.60%,21.10%,18.30%,18.8%,16.8%,22.4%,21.0%,33.6%,35.3%,37.4%,35.0%,32.0%,30.0%,29.3%,28.4%,31.7%,34.5%
,,,,,,,,,,,,,,,,,
19. Belmont Cragin,,,,,,,,,,,,,,,,,
Total,"  60,221 ","  63,302 ","  63,546 ","  60,883 ","  57,288 ","  53,371 ","  56,787 ","  78,237 ","  77,885 ","  78,279 ","  79,069 ","  79,210 ","  78,155 ","79,956","80,701","78,601","78,788"
