Citizenship in Chicago Community Areas,,,,,,,,,,,,,,,,,
U.S. citizen by birth,"  16,968 ","  16,785 ","  16,409 ","  15,223 ","  14,406 ","  11,966 ","  10,790 ","  9,911 ","  10,418 ","  10,265 ","  10,341 ","  10,536 ","  10,328 ","10,175","10,040","9,672","9,165"
Foreign born,"  5,064 ","  3,644 ","  2,404 ","  1,685 ","  1,285 ","  1,282 ","  2,507 ","  6,051 ","  6,016 ","  6,273 ","  6,108 ","  5,800 ","  5,736 ","5,592","5,880","5,505","6,081"
U.S. citizen by naturalization,,,,,,,  792 ,"  2,051 ","  2,595 ","  2,802 ","  2,804 ","  2,931 ","  3,169 ","3,045","3,176","2,952","3,308"
Not a U.S. citizen,,,,,,,"  1,715 ","  4,000 ","  3,421 ","  3,471 ","  3,304 ","  2,869 ","  2,567 ","2,547","2,704","2,553","2,773"
Percent foreign born,23.0%,17.8%,12.8%,10.0%,8.2%,9.7%,18.9%,37.9%,36.6%,37.9%,37.1%,36.0%,35.7%,35.5%,36.9%,36.3%,39.9%
,,,,,,,,,,,,,,,,,
60. Bridgeport,,,,,,,,,,,,,,,,,
Total,"  53,553 ","  49,109 ","  46,070 ","  41,560 ","  35,150 ","  30,923 ","  29,877 ","  33,694 ","  32,430 ","  32,639 ","  31,939 ","  33,939 ","  32,853 ","33,696","33,888","34,540","32,901"
U.S. citizen by birth,"  38,181 ","  38,249 ","  38,444 ","  36,187 ","  31,779 ","  26,448 ","  22,762 ","  22,859 ","  21,360 ","  21,256 ","  21,000 ","  22,079 ","  21,069 ","21,546","21,813","22,334","21,430"
Foreign born,"  15,372 ","  10,860 ","  7,626 ","  5,373 ","  3,371 ","  4,475 ","  7,115 ","  10,835 ","  11,070 ","  11,383 ","  10,939 ","  11,860 ","  11,784 ","12,150","12,075","12,206","11,471"
U.S. citizen by naturalization,,,,,,,"  2,632 ","  4,879 ","  5,941 ","  6,098 ","  5,662 ","  6,123 ","  6,092 ","6,389","6,641","6,729","6,335"
Not a U.S. citizen,,,,,,,"  4,483 ","  5,956 ","  5,129 ","  5,285 ","  5,277 ","  5,737 ","  5,692 ","5,761","5,434","5,477","5,136"
Percent foreign born,28.70%,22.10%,16.60%,12.9%,9.6%,14.5%,23.8%,32.2%,34.1%,34.9%,34.2%,35.0%,35.9%,36.1%,35.6%,35.3%,34.9%
,,,,,,,,,,,,,,,,,
61. New City,,,,,,,,,,,,,,,,,
Total,"  87,103 ","  80,725 ","  75,917 ","  67,428 ","  60,747 ","  55,860 ","  53,226 ","  51,721 ","  42,107 ","  41,758 ","  41,598 ","  41,083 ","  41,178 ","39,646","39,542","39,508","39,055"
U.S. citizen,"  61,603 ","  62,564 ","  63,088 ","  57,955 ","  52,148 ","  42,502 ","  42,230 ","  36,462 ","  30,086 ","  30,067 ","  29,514 ","  28,744 ","  28,752 ","27,678","27,948","28,413","28,447"
Foreign born,"  25,500 ","  18,161 ","  12,829 ","  9,473 ","  8,599 ","  13,358 ","  10,996 ","  15,259 ","  12,021 ","  11,691 ","  12,084 ","  12,339 ","  12,426 ","11,968","11,594","11,095","10,608"
U.S. citizen by naturalization,,,,,,,"  2,496 ","  3,214 ","  2,501 ","  2,467 ","  2,559 ","  2,818 ","  2,920 ","2,824","2,771","2,908","2,922"
Not a U.S. citizen,,,,,,,"  8,500 ","  12,045 ","  9,520 ","  9,224 ","  9,525 ","  9,521 ","  9,506 ","9,144","8,823","8,187","7,686"
Percent foreign born,29.30%,22.50%,16.90%,14.0%,14.2%,23.9%,20.7%,29.5%,28.5%,28.0%,29.0%,30.0%,30.2%,30.2%,29.3%,28.1%,27.2%
,,,,,,,,,,,,,,,,,
62. West Elsdon,,,,,,,,,,,,,,,,,
Total,"  2,861 ","  3,255 ","  7,728 ","  14,215 ","  14,059 ","  12,797 ","  12,266 ","  15,921 ","  18,980 ","  19,517 ","  19,165 ","  19,192 ","  19,932 ","19,210","19,336","19,126","18,523"
U.S. citizen by birth,"  1,960 ","  2,436 ","  6,508 ","  12,406 ","  12,474 ","  11,271 ","  9,736 ","  9,956 ","  11,440 ","  11,625 ","  11,492 ","  11,548 ","  12,208 ","11,994","12,277","12,307","11,975"
Foreign born,  901 ,  819 ,"  1,220 ","  1,809 ","  1,585 ","  1,526 ","  2,530 ","  5,965 ","  7,540 ","  7,892 ","  7,673 ","  7,644 ","  7,724 ","7,216","7,059","6,819","6,548"
U.S. citizen by naturalization,,,,,,,"  1,287 ","  2,296 ","  2,734 ","  3,098 ","  3,533 ","  3,422 ","  3,367 ","3,144","3,162","2,809","3,056"
Not a U.S. citizen,,,,,,,"  1,243 ","  3,669 ","  4,806 ","  4,794 ","  4,140 ","  4,222 ","  4,357 ","4,072","3,897","4,010","3,492"
Percent foreign born,31.50%,25.20%,15.80%,12.7%,11.3%,11.9%,20.6%,37.5%,39.7%,40.4%,40.0%,40.0%,38.8%,37.6%,36.5%,35.7%,35.4%
,,,,,,,,,,,,,,,,,
63. Gage Park,,,,,,,,,,,,,,,,,
Total,"  31,535 ","  30,343 ","  30,149 ","  28,244 ","  26,698 ","  24,445 ","  26,957 ","  39,193 ","  39,492 ","  39,580 ","  40,381 ","  41,202 ","  40,926 ","40,873","39,302","37,478","35,300"
U.S. citizen by birth,"  23,474 ","  23,881 ","  24,714 ","  23,779 ","  22,693 ","  20,654 ","  20,795 ","  21,478 ","  21,343 ","  21,382 ","  21,782 ","  22,811 ","  23,762 ","24,555","24,517","23,446","22,715"
Foreign born,"  8,061 ","  6,462 ","  5,435 ","  4,465 ","  4,005 ","  3,791 ","  6,162 ","  17,715 ","  18,149 ","  18,198 ","  18,599 ","  18,391 ","  17,164 ","16,318","14,785","14,032","12,585"
U.S. citizen by naturalization,,,,,,,"  1,965 ","  4,436 ","  4,181 ","  3,893 ","  4,069 ","  4,580 ","  4,675 ","4,628","4,720","4,941","4,710"
Not a U.S. citizen,,,,,,,"  4,197 ","  13,279 ","  13,968 ","  14,305 ","  14,530 ","  13,811 ","  12,489 ","11,690","10,065","9,091","7,875"
Percent foreign born,25.60%,21.30%,18.00%,15.8%,15.0%,15.5%,22.9%,45.2%,46.0%,46.0%,46.1%,45.0%,41.9%,39.9%,37.6%,37.4%,35.7%
,,,,,,,,,,,,,,,,,
64. Clearing,,,,,,,,,,,,,,,,,
Total,"  5,434 ","  6,068 ","  10,591 ","  18,797 ","  24,527 ","  22,584 ","  21,490 ","  22,331 ","  22,716 ","  23,399 ","  24,452 ","  24,962 ","  25,200 ","25,891","25,735","24,976","24,382"
U.S. citizen by birth,"  4,187 ","  5,069 ","  9,424 ","  17,282 ","  22,396 ","  20,512 ","  19,456 ","  18,529 ","  17,727 ","  18,419 ","  19,095 ","  19,807 ","  20,234 ","21,239","21,134","20,702","19,576"
Foreign born,"  1,247 ",  999 ,"  1,167 ","  1,515 ","  2,131 ","  2,072 ","  2,034 ","  3,802 ","  4,989 ","  4,980 ","  5,357 ","  5,155 ","  4,966 ","4,652","4,601","4,274","4,806"
U.S. citizen by naturalization,,,,,,,"  1,231 ","  1,887 ","  2,220 ","  2,258 ","  2,494 ","  2,579 ","  2,687 ","2,702","2,790","2,677","2,686"
Not a U.S. citizen,,,,,,,  803 ,"  1,915 ","  2,769 ","  2,722 ","  2,863 ","  2,576 ","  2,279 ","1,950","1,811","1,597","2,120"
Percent foreign born,22.90%,16.50%,11.00%,8.1%,8.7%,9.2%,9.5%,17.0%,22.0%,21.3%,21.9%,21.0%,19.7%,18.0%,17.9%,17.1%,19.7%
,,,,,,,,,,,,,,,,,
65. West Lawn,,,,,,,,,,,,,,,,,
Total,"  8,919 ","  10,289 ","  14,460 ","  26,910 ","  18,510 ","  24,748 ","  23,402 ","  29,235 ","  32,950 ","  33,199 ","  33,477 ","  32,749 ","  33,595 ","33,108","32,176","31,886","32,162"
U.S. citizen by birth,"  7,137 ","  8,524 ","  12,382 ","  23,987 ","  16,297 ","  22,013 ","  20,611 ","  20,274 ","  21,032 ","  20,954 ","  21,223 ","  20,842 ","  21,711 ","21,680","21,180","21,061","21,363"
Foreign born,"  1,782 ","  1,765 ","  2,078 ","  2,923 ","  2,213 ","  2,735 ","  2,791 ","  8,961 ","  11,918 ","  12,245 ","  12,254 ","  11,907 ","  11,884 ","11,428","10,996","10,825","10,799"
U.S. citizen by naturalization,,,,,,,"  1,660 ","  3,754 ","  4,219 ","  4,131 ","  4,428 ","  4,682 ","  4,582 ","4,385","4,509","4,145","4,417"
Not a U.S. citizen,,,,,,,"  1,131 ","  5,207 ","  7,699 ","  8,114 ","  7,826 ","  7,225 ","  7,302 ","7,043","6,487","6,680","6,382"
Percent foreign born,20.00%,17.20%,14.40%,10.9%,12.0%,11.1%,11.9%,30.7%,36.2%,36.9%,36.6%,36.0%,35.4%,34.5%,34.2%,33.9%,33.6%
,,,,,,,,,,,,,,,,,
66. Chicago Lawn,,,,,,,,,,,,,,,,,
Total,"  47,462 ","  49,291 ","  50,211 ","  51,347 ","  48,508 ","  46,568 ","  51,243 ","  61,412 ","  54,807 ","  55,598 ","  56,293 ","  55,551 ","  54,265 ","53,098","52,003","51,352","51,243"
U.S. citizen by birth,"  37,316 ","  40,514 ","  41,650 ","  41,237 ","  38,411 ","  37,790 ","  39,972 ","  48,522 ","  43,142 ","  43,437 ","  43,217 ","  42,135 ","  41,449 ","40,234","39,652","39,578","38,617"
Foreign born,"  10,146 ","  8,777 ","  8,561 ","  10,110 ","  10,097 ","  8,778 ","  11,271 ","  12,890 ","  11,665 ","  12,161 ","  13,076 ","  13,416 ","  12,816 ","12,864","12,351","11,774","12,626"
U.S. citizen by naturalization,,,,,,,"  4,635 ","  4,181 ","  2,993 ","  3,207 ","  3,633 ","  3,700 ","  3,656 ","3,763","3,837","3,660","3,798"
Not a U.S. citizen,,,,,,,"  6,636 ","  8,709 ","  8,672 ","  8,954 ","  9,443 ","  9,716 ","  9,160 ","9,101","8,514","8,114","8,828"
Percent foreign born,21.40%,17.80%,17.10%,19.7%,20.8%,18.8%,22.0%,21.0%,21.3%,21.9%,23.2%,24.0%,23.6%,24.2%,23.8%,22.9%,24.6%
,,,,,,,,,,,,,,,,,
67. West Englewood,,,,,,,,,,,,,,,,,
Total,"  63,845 ","  64,171 ","  62,842 ","  58,516 ","  61,922 ","  62,069 ","  52,772 ","  45,282 ","  35,294 ","  34,632 ","  34,272 ","  32,156 ","  30,798 ","29,929","28,237","26,346","26,158"
U.S. citizen by birth,"  49,223 ","  52,385 ","  54,059 ","  51,710 ","  58,163 ","  61,363 ","  52,341 ","  44,851 ","  34,611 ","  34,011 ","  33,545 ","  31,310 ","  29,958 ","29,100","27,178","25,204","24,954"
Foreign born,"  14,622 ","  11,786 ","  8,783 ","  6,806 ","  3,759 ",  706 ,  431 ,  431 ,  683 ,  621 ,  727 ,  846 ,  840 ,829,1059,1142,1204
U.S. citizen by naturalization,,,,,,,  200 ,  238 ,  232 ,  231 ,  175 ,  192 ,  139 ,136,187,324,463
Not a U.S. citizen,,,,,,,231,193,451,390,  552 ,  654 ,  701 ,693,872,818,741
Percent foreign born,22.90%,18.40%,14.00%,11.6%,6.1%,1.1%,0.8%,1.0%,1.9%,1.8%,2.1%,3.0%,2.7%,2.8%,3.8%,4.3%,4.6%
,,,,,,,,,,,,,,,,,
68. Englewood,,,,,,,,,,,,,,,,,
Total,"89,063","92,849","94,134","97,595","89,659","59,075","48,434","40,222","28,824","28,361","  27,297 ","  26,121 ","  26,020 ","25,075","23,792","22,921","22,019"
U.S. citizen by birth,"69,669","77,621","83,217","93,416","89,081","58,687","48,021","39,810","28,623","28,084","  26,879 ","  25,536 ","  25,402 ","24,493","23,048","22,246","21,304"
Foreign born,"19,394","15,228","10,917","4,179",578,388,413,412,201,277,  418 ,  585 ,  618 ,582,744,675,715
U.S. citizen by naturalization,,,,,,,204,160,131,175,  186 ,  217 ,  215 ,164,239,261,375
Not a U.S. citizen,,,,,,,209,252,70,102,  232 ,  368 ,  403 ,418,505,414,340
Percent foreign born,21.80%,16.40%,11.60%,4.3%,0.6%,0.7%,0.9%,1.0%,0.7%,1.0%,1.5%,2.0%,2.4%,2.3%,3.1%,2.9%,3.2%
,,,,,,,,,,,,,,,,,
69. Greater Grand Crossing,,,,,,,,,,,,,,,,,
Total,"60,007","61,554","61,753","63,169","54,414","45,218","38,644","38,619","32,873","32,804","  32,849 ","  32,346 ","  32,461 ","31,766","30,805","30,149","29,429"
U.S. citizen by birth,"47,145","51,459","53,925","61,600","54,137","44,694","38,384","38,207","32,504","32,305","  32,369 ","  31,877 ","  31,931 ","31,320","30,481","29,654","29,046"
Foreign born,"12,862","10,095","7,828","1,569",277,524,260,412,369,499,  480 ,  469 ,  530 ,446,324,495,383
U.S. citizen by naturalization,,,,,,,78,229,203,289,  303 ,  300 ,  370 ,335,278,406,288
Not a U.S. citizen,,,,,,,182,183,166,210,  177 ,  169 ,  160 ,111,46,89,95
Percent foreign born,21.40%,16.40%,12.70%,2.5%,0.5%,1.2%,0.7%,1.1%,1.1%,1.5%,1.5%,1.0%,1.6%,1.4%,1.1%,1.6%,1.3%
,,,,,,,,,,,,,,,,,
70. Ashburn,,,,,,,,,,,,,,,,,
Total,733,731,"7,472","38,638","47,153","40,477","37,092","39,584","42,788","42,821","  42,809 ","  42,752 ","  43,283 ","43,792","43,986","43,356","42,902"
U.S. citizen by birth,628,635,"7,051","36,259","44,354","37,399","34,063","35,064","36,618","36,223","  35,983 ","  35,672 ","  35,883 ","36,510","36,608","35,514","35,478"
Foreign born,105,96,421,"2,379","2,799","3,078","3,029","4,520","6,170","6,598","  6,826 ","  7,080 ","  7,400 ","7,282","7,378","7,842","7,424"
U.S. citizen by naturalization,,,,,,,"2,215","2,715","2,917","2,863","  2,951 ","  3,249 ","  3,287 ","3,327","3,273","3,709","4,130"
Not a U.S. citizen,,,,,,,814,"1,805","3,253","3,735","  3,875 ","  3,831 ","  4,113 ","3,955","4,105","4,133","3,294"
Percent foreign born,14.30%,13.10%,5.60%,6.2%,5.9%,7.6%,8.2%,11.4%,14.4%,15.4%,15.9%,17.0%,17.1%,16.6%,16.8%,18.1%,17.3%
,,,,,,,,,,,,,,,,,
71. Auburn Gresham,,,,,,,,,,,,,,,,,
Total,"57,381","57,293","60,978","59,484","68,850","65,132","59,808","55,928","49,634","48,934","  47,611 ","  45,842 ","  45,770 ","46,278","45,271","45,909","46,698"
U.S. citizen by birth,"47,311","49,386","53,939","52,018","65,980","64,442","59,326","55,236","49,193","48,369","  47,087 ","  45,267 ","  45,033 ","45,439","44,400","44,874","45,362"
Foreign born,"10,070","7,907","7,039","7,466","2,870",690,482,692,441,565,  524 ,  575 ,  737 ,839,871,1035,1336
U.S. citizen by naturalization,,,,,,,225,434,201,292,  244 ,  356 ,  415 ,472,431,462,438
Not a U.S. citizen,,,,,,,257,258,240,273,  280 ,  219 ,  322 ,367,440,573,898
Percent foreign born,17.50%,13.80%,11.50%,12.6%,4.2%,1.1%,0.8%,1.2%,0.9%,1.2%,1.1%,1.0%,1.6%,1.8%,1.9%,2.3%,2.9%
,,,,,,,,,,,,,,,,,
72. Beverly,,,,,,,,,,,,,,,,,
Total,"13,793","15,910","20,186","24,814","26,797","23,360","22,385","21,992","21,226","21,762","  21,002 ","  20,815 ","  20,836 ","20,822","20,437","19,791","19,817"
U.S. citizen by birth,"12,248","14,661","18,727","23,429","25,511","22,608","21,827","21,424","20,486","21,141","  20,319 ","  20,154 ","  20,197 ","20,153","19,626","19,057","19,082"
Foreign born,"1,545","1,249","1,459","1,385","1,286",752,558,568,740,621,  683 ,  661 ,  639 ,669,811,734,735
U.S. citizen by naturalization,,,,,,,452,410,590,496,  554 ,  462 ,  446 ,469,574,499,523
Not a U.S. citizen,,,,,,,106,158,150,125,  129 ,  199 ,  193 ,200,237,235,212
Percent foreign born,11.20%,7.90%,7.20%,5.6%,4.8%,3.2%,2.5%,2.6%,3.5%,2.9%,3.3%,3.0%,3.1%,3.2%,4.0%,3.7%,3.7%
,,,,,,,,,,,,,,,,,
73. Washington Heights,,,,,,,,,,,,,,,,,
Total,"17,865","19,370","24,488","29,793","36,540","36,453","32,114","29,843","26,021","26,241","  26,435 ","  27,116 ","  27,055 ","27,453","27,354","26,742","26,940"
U.S. citizen by birth,"15,004","16,958","22,095","27,372","35,668","36,234","31,835","29,451","25,833","25,911","  26,068 ","  26,734 ","  26,654 ","27,008","27,129","26,524","26,721"
Foreign born,"2,861","2,412","2,393","2,421",872,219,279,392,188,330,  367 ,  382 ,  401 ,445,225,218,219
U.S. citizen by naturalization,,,,,,,153,170,101,162,  189 ,  243 ,  253 ,291,185,184,181
Not a U.S. citizen,,,,,,,126,222,87,168,  178 ,  139 ,  148 ,154,40,34,38
Percent foreign born,16.00%,12.50%,9.80%,8.1%,2.4%,0.6%,0.9%,1.3%,0.7%,1.3%,1.4%,1.0%,1.5%,1.6%,0.8%,0.8%,0.8%
,,,,,,,,,,,,,,,,,
74. Mount Greenwood,,,,,,,,,,,,,,,,,
Total,"3,310","4,390","12,331","21,941","23,205","20,084","19,179","18,820","18,475","18,397","  18,357 ","  18,783 ","  19,029 ","19,277","19,342","19,190","18,840"
U.S. citizen by birth,"2,503","3,609","11,150","20,445","21,632","18,879","18,485","18,100","17,957","17,890","  17,751 ","  18,154 ","  18,265 ","18,497","18,533","18,465","18,130"
Foreign born,807,781,"1,181","1,496","1,573","1,205",694,720,518,507,  606 ,  629 ,  764 ,780,809,725,710
U.S. citizen by naturalization,,,,,,,513,515,268,320,  322 ,  364 ,  481 ,472,538,490,517
Not a U.S. citizen,,,,,,,181,205,250,187,  284 ,  265 ,  283 ,308,271,235,193
Percent foreign born,24.40%,17.80%,9.60%,6.8%,6.8%,6.0%,3.6%,3.8%,2.8%,2.8%,3.3%,3.0%,4.0%,4.0%,4.2%,3.8%,3.8%
,,,,,,,,,,,,,,,,,
75. Morgan Park,,,,,,,,,,,,,,,,,
Total,"12,747","15,645","22,618","27,912","31,047","29,315","26,740","25,226","22,681","23,568","  23,204 ","  22,908 ","  23,019 ","22,375","21,674","21,050","20,526"
U.S. citizen by birth,"11,598","14,686","21,423","26,607","30,146","28,542","26,253","24,610","22,071","23,013","  22,747 ","  22,416 ","  22,321 ","21,748","21,082","20,210","19,801"
Foreign born,"1,149",959,"1,195","1,305",901,773,487,616,610,555,  457 ,  492 ,  698 ,627,592,840,725
U.S. citizen by naturalization,,,,,,,365,381,402,385,  315 ,  349 ,  436 ,384,352,518,442
Not a U.S. citizen,,,,,,,122,235,208,170,  142 ,  143 ,  262 ,243,240,322,283
Percent foreign born,9.00%,6.10%,5.30%,4.7%,2.9%,2.6%,1.8%,2.4%,2.7%,2.4%,2.0%,2.0%,3.0%,2.8%,2.7%,4.0%,3.5%
,,,,,,,,,,,,,,,,,
76. O'Hare,,,,,,,,,,,,,,,,,
Total,,,,,"6,230","11,056","11,381","11,940","13,687","13,700","  14,143 ","  13,483 ","  12,902 ","12,139","12,549","12,861","13,285"
U.S. citizen by birth,,,,,"5,664","9,282","8,956","7,197","7,309","7,251","  7,180 ","  7,198 ","  6,308 ","5,838","5,889","5,843","5,749"
Foreign born,,,,,566,"1,774","2,425","4,743","6,378","6,449","  6,963 ","  6,285 ","  6,594 ","6,301","6,660","7,018","7,536"
U.S. citizen by naturalization,,,,,,,"1,564","1,667","3,140","3,217","  3,871 ","  3,868 ","  3,628 ","3,101","3,110","2,894","3,102"
Not a U.S. citizen,,,,,,,861,"3,076","3,238","3,232","  3,092 ","  2,417 ","  2,966 ","3,200","3,550","4,124","4,434"
Percent foreign born,,,,,9.1%,16.0%,21.3%,39.7%,46.6%,47.1%,49.2%,47.0%,51.1%,51.9%,53.1%,54.6%,56.7%
,,,,,,,,,,,,,,,,,
77. Edgewater,,,,,,,,,,,,,,,,,
Total,"53,938","55,503","54,606","51,579","61,598","58,561","60,703","62,198","55,333","55,548","  55,276 ","  54,873 ","  55,430 ","55,965","57,022","57,649","58,693"
U.S. citizen by birth,"42,542","45,655","46,312","42,685","48,477","41,559","42,745","39,740","38,454","38,998","  39,362 ","  39,442 ","  39,480 ","40,537","41,243","42,185","42,328"
Foreign born,"11,396","9,848","8,294","8,894","13,121","17,002","17,958","22,458","16,879","16,550","  15,914 ","  15,431 ","  15,950 ","15,428","15,779","15,464","16,365"
U.S. citizen by naturalization,,,,,,,"6,858","8,409","7,414","7,689","  7,626 ","  7,181 ","  7,528 ","7,382","8,089","7,986","8,852"
Not a U.S. citizen,,,,,,,"11,100","14,049","9,465","8,861","  8,288 ","  8,250 ","  8,422 ","8,046","7,690","7,478","7,513"
Percent foreign born,21.1%,17.7%,15.2%,17.2%,21.3%,29.0%,29.6%,36.1%,30.5%,29.8%,28.8%,28.0%,28.8%,27.6%,27.7%,26.8%,27.9%
,,,,,,,,,,,,,,,,,
Chicago,,,,,,,,,,,,,,,,,
Total,"3,376,438","3,396,808","3,620,962","3,550,404","3,362,947","3,005,078","2,783,726","2,895,964","2,702,471","2,706,101","  2,712,608 ","  2,716,981 ","  2,713,515 ","2,722,098","2,718,019","2,708,837","2,698,334"
U.S. citizen by birth,"2,534,381","2,724,103","3,094,904","3,112,012","2,989,028","2,569,846","2,314,539","2,267,061","2,130,055","2,136,773","  2,145,053 ","  2,145,150 ","  2,147,547 ","2,158,385","2,159,385","2,149,918","2,152,058"
Foreign born,"842,057","672,705","526,058","438,392","373,919","435,232","469,187","628,903","572,416","569,328","  567,555 ","  571,831 ","  565,968 ","563,713","558,634","558,919","546,276"
Total U.S. citizen by naturalization,,,,,,,"177,444","223,984","231,191","232,763","  235,861 ","  240,509 ","  243,384 ","246,806","249,393","253,837","256,700"
Total not a U.S. citizen,,,,,,,"291,743","404,919","341,225","336,565","  331,694 ","  331,322 ","  322,584 ","316,907","309,241","305,082","289,576"
Percent foreign born,24.9%,19.8%,14.5%,12.3%,11.1%,14.5%,16.9%,21.7%,21.2%,21.1%,20.9%,21.0%,20.9%,20.7%,20.6%,20.6%,20.2%
"Source: 1930-2000 data are tabulated from the Decennial Census, 2008-2012 data are tabulated from the American Community Survey",,,,,,,,,,,,,,,,,
"Note: Data for some census tracts are suppressed (i.e., not reported) by the Census Bureau. This affects only some community areas but has the effect of causing the community area data to not sum exactly to the citywide total.",,,,,,,,,,,,,,,,,
"Note: 1930, 1940, and 1950 foreign born represents only Whites born outside of the U.S.  Data for foreign born Nonwhites are available only for the City in 1930 through 1950.",,,,,,,,,,,,,,,,,
"In 1930, there were 17,352 Nonwhites in Chicago who were born outside of the US, including 13,720 Mexican; 1,338 Black or African-American; 1,824 Chinese; 8 Filipino; 317 Japanese; 62 Hindu; 48 Korean; 2 Siamese; and 33 American Indian. The Mexican racial category was unique to the 1930 census.",,,,,,,,,,,,,,,,,
"In 1940, there were 2,442 Nonwhites in Chicago who were born outside of the US, including 1,026 Black or African-American; 1,089 Chinese; 12 Filipino; 193 Japanese; 32 Hindu; 25 Other; and 65 American Indian.",,,,,,,,,,,,,,,,,
"In 1950, there were about 7,500 Nonwhites in Chicago who were born outside of the United States, according to a Census Bureau subject report on nativity and parentage.  No detail is available by race.",,,,,,,,,,,,,,,,,